Game 328: Q-table size = 26599, Epsilon = 0.0577
Game 329: Q-table size = 26609, Epsilon = 0.0574
Game 330: Q-table size = 26616, Epsilon = 0.0571
Game 331: Q-table size = 26616, Epsilon = 0.0568
Game 332: Q-table size = 26616, Epsilon = 0.0565
Game 333: Q-table size = 26616, Epsilon = 0.0562
Game 334: Q-table size = 26620, Epsilon = 0.0560
Game 335: Q-table size = 26620, Epsilon = 0.0557
Game 336: Q-table size = 26620, Epsilon = 0.0554
Game 337: Q-table size = 26620, Epsilon = 0.0551
Game 338: Q-table size = 26620, Epsilon = 0.0548
Game 339: Q-table size = 26624, Epsilon = 0.0546
Game 340: Q-table size = 26624, Epsilon = 0.0543
Game 341: Q-table size = 26624, Epsilon = 0.0540
Game 342: Q-table size = 26624, Epsilon = 0.0538
Game 343: Q-table size = 26624, Epsilon = 0.0535
Game 344: Q-table size = 26624, Epsilon = 0.0532
Game 345: Q-table size = 26624, Epsilon = 0.0530
Game 346: Q-table size = 26624, Epsilon = 0.0527
Game 347: Q-table size = 26624, Epsilon = 0.0524
Game 348: Q-table size = 26624, Epsilon = 0.0522
Game 349: Q-table size = 26624, Epsilon = 0.0519
Game 350: Q-table size = 26634, Epsilon = 0.0516
Game 351: Q-table size = 26634, Epsilon = 0.0514
Game 352: Q-table size = 26634, Epsilon = 0.0511
Game 353: Q-table size = 26634, Epsilon = 0.0509
Game 354: Q-table size = 26634, Epsilon = 0.0506
Game 355: Q-table size = 26634, Epsilon = 0.0504
Game 356: Q-table size = 26634, Epsilon = 0.0501
Game 357: Q-table size = 26634, Epsilon = 0.0499
Game 358: Q-table size = 26634, Epsilon = 0.0496
Game 359: Q-table size = 26634, Epsilon = 0.0494
Game 360: Q-table size = 26634, Epsilon = 0.0491
Game 361: Q-table size = 26634, Epsilon = 0.0489
Game 362: Q-table size = 26634, Epsilon = 0.0486
Game 363: Q-table size = 26644, Epsilon = 0.0484
Game 364: Q-table size = 26644, Epsilon = 0.0481
Game 365: Q-table size = 26644, Epsilon = 0.0479
Game 366: Q-table size = 26644, Epsilon = 0.0477
Game 367: Q-table size = 26644, Epsilon = 0.0474
Game 368: Q-table size = 26644, Epsilon = 0.0472
Game 369: Q-table size = 26644, Epsilon = 0.0470
Game 370: Q-table size = 26644, Epsilon = 0.0467
Game 371: Q-table size = 26644, Epsilon = 0.0465
Game 372: Q-table size = 26644, Epsilon = 0.0463
Game 373: Q-table size = 26644, Epsilon = 0.0460
Game 374: Q-table size = 26644, Epsilon = 0.0458
Game 375: Q-table size = 26644, Epsilon = 0.0456
Game 376: Q-table size = 26644, Epsilon = 0.0453
Game 377: Q-table size = 26644, Epsilon = 0.0451
Game 378: Q-table size = 26644, Epsilon = 0.0449
Game 379: Q-table size = 26644, Epsilon = 0.0447
Game 380: Q-table size = 26644, Epsilon = 0.0444
Game 381: Q-table size = 26644, Epsilon = 0.0442
Game 382: Q-table size = 26644, Epsilon = 0.0440
Game 383: Q-table size = 26644, Epsilon = 0.0438
Game 384: Q-table size = 26644, Epsilon = 0.0436
Game 385: Q-table size = 26644, Epsilon = 0.0433
Game 386: Q-table size = 26644, Epsilon = 0.0431
Game 387: Q-table size = 26652, Epsilon = 0.0429
Game 388: Q-table size = 26652, Epsilon = 0.0427
Game 389: Q-table size = 26652, Epsilon = 0.0425
Game 390: Q-table size = 26652, Epsilon = 0.0423
Game 391: Q-table size = 26652, Epsilon = 0.0421
Game 392: Q-table size = 26662, Epsilon = 0.0418
Game 393: Q-table size = 26662, Epsilon = 0.0416
Game 394: Q-table size = 26662, Epsilon = 0.0414
Game 395: Q-table size = 26662, Epsilon = 0.0412
Game 396: Q-table size = 26662, Epsilon = 0.0410
Game 397: Q-table size = 26667, Epsilon = 0.0408
Game 398: Q-table size = 26667, Epsilon = 0.0406
Game 399: Q-table size = 26667, Epsilon = 0.0404
Game 400: Q-table size = 26667, Epsilon = 0.0402
Game 401: Q-table size = 26667, Epsilon = 0.0400
Game 402: Q-table size = 26667, Epsilon = 0.0398
Game 403: Q-table size = 26667, Epsilon = 0.0396
Game 404: Q-table size = 26667, Epsilon = 0.0394
Game 405: Q-table size = 26667, Epsilon = 0.0392
Game 406: Q-table size = 26676, Epsilon = 0.0390
Game 407: Q-table size = 26693, Epsilon = 0.0388
Game 408: Q-table size = 26693, Epsilon = 0.0386
Game 409: Q-table size = 26693, Epsilon = 0.0384
Game 410: Q-table size = 26702, Epsilon = 0.0382
Game 411: Q-table size = 26702, Epsilon = 0.0380
